S1 	 0.181
S2 	 0.351
S1 	 0.518
S2 	 0.693
S1 	 0.868
S2 	 1.029
S1 	 1.177
S2 	 1.366
S1 	 1.527
S2 	 1.678
S1 	 1.87
S2 	 2.018
S1 	 2.203
S2 	 2.396
S1 	 2.559
S2 	 2.732
S1 	 2.908
S2 	 3.071
S1 	 3.255
S2 	 3.399
S1 	 3.603
S2 	 3.743
S1 	 3.94
S2 	 4.095
S1 	 4.267
S2 	 4.388
S1 	 4.597
S2 	 4.743
S1 	 4.933
S2 	 5.118
S1 	 5.284
S2 	 5.459
S1 	 5.62
S2 	 5.744
S1 	 5.872
S2 	 5.995
S1 	 6.132
S1 	 6.358
S2 	 6.477
S1 	 6.662
S2 	 6.806
S1 	 7.038
S2 	 7.161
S1 	 7.333
S2 	 7.481
S1 	 7.686
S2 	 7.805
S2 	 8.006
S1 	 8.102
S1 	 8.341
S2 	 8.518
S1 	 8.683
S2 	 8.858
S1 	 9.052
S2 	 9.202
S1 	 9.386
S2 	 9.539
S1 	 9.726
S2 	 9.891
S1 	 10.075
S2 	 10.232
S1 	 10.404
S2 	 10.561
S1 	 10.744
S2 	 10.913
S1 	 11.102
S2 	 11.248
S1 	 11.416
S2 	 11.587
S1 	 11.751
S2 	 11.936
S1 	 12.095
S2 	 12.271
S1 	 12.435
S2 	 12.617
S1 	 12.786
S2 	 12.952
S1 	 13.149
S2 	 13.31
S1 	 13.48
S2 	 13.651
S1 	 13.835
S2 	 14
S1 	 14.19
S2 	 14.357
S1 	 14.534
S2 	 14.69
S1 	 14.869
S2 	 15.013
S1 	 15.212
S2 	 15.374
S1 	 15.566
S2 	 15.76
S1 	 15.925
S2 	 16.108
S1 	 16.3
S2 	 16.483
S1 	 16.66
S2 	 16.842
S1 	 17.626
S2 	 17.857
S1 	 18.266
S2 	 18.499
S1 	 19.195
S2 	 19.45
S1 	 20.051
S2 	 20.315
S1 	 20.903
S2 	 21.163
S1 	 21.67
S2 	 21.937
S1 	 22.381
S2 	 22.645
